Sun 1am,Sun 2am,"Classic Rock from the 60's, 70's & 80's",MCBVI Radio automation selects the best classic and progressive rock available from the sixties, seventies and eighties from our extensive library. To make a request call (206) 666-3696. Please indicate a time when you are likely to be listening and your requests will be played for you.
Tue 8pm,Tue 11pm,Selected Music from the 80's and 90's,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Tue 11pm,Wed 1am,"Classic Rock from the 60's, 70's & 80's",MCBVI Radio automation selects the best classic and progressive rock available from the sixties, seventies and eighties from our extensive library. To make a request call (206) 666-3696. Please indicate a time when you are likely to be listening and your requests will be played for you.
Wed 1am,Wed 2am,"Classic Rock from the 60's, 70's & 80's",MCBVI Radio automation selects the best classic and progressive rock available from the sixties, seventies and eighties from our extensive library. To make a request call (206) 666-3696. Please indicate a time when you are likely to be listening and your requests will be played for you.
Wed 2am,Wed 9am,Selected Hits from the 60's and 70's,MCBVI Radio automation selects the best classic and progressive rock available from the sixties, seventies and eighties from our extensive library. To make a request call (206) 666-3696. Please indicate a time when you are likely to be listening and your requests will be played for you.
Wed 9am,Wed 11am,The Coffee Club,A light-hearted tech show with product demonstrations and lively talk. They will provide phone numbers and links so that you can participate in the show via phone or through Zoom.
Wed 11am,Wed 5pm,Selected Hits from the 60's and 70's,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Wed 5pm,Wed 6pm,Fifties at Five,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Wed 6pm,Wed 7pm,Sixties at Six,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Wed 7pm,Wed 8pm,Seventies at Seven,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Wed 8pm,Wed 11pm,Selected Music from the 80's and 90's,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Wed 11pm,Thu 1am,"Classic Rock from the 60's, 70's & 80's",The MCBVI Radio automation selects the best classic and progressive rock available from the sixties, seventies & eighties from our extensive library. To leave a requests call (206) 666-3696. Leave a time when you are likely to be listening and your requests will be played.
Thu 1am,Thu 2am,"Classic Rock from the 60's, 70's & 80's",The MCBVI Radio automation selects the best classic and progressive rock available from the sixties, seventies & eighties from our extensive library. To leave a requests call (206) 666-3696. Leave a time when you are likely to be listening and your requests will be played.
Thu 2am,Thu 5pm,Selected Hits from the 60's and 70's,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Thu 5pm,Thu 6pm,Fifties at Five,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Thu 6pm,Thu 7pm,Sixties at Six,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Thu 7pm,Thu 8pm,Seventies at Seven,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Thu 8pm,Thu 11pm,Selected Music from the 80's and 90's,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Thu 11pm,Fri 1am,"Classic Rock from the 60's, 70's & 80's",The MCBVI radio automation selects the best classic and progressive rock available from the sixties and seventies from our extensive library. you  can make requests by calling (206) 666-3696. Please leave a time when you are likely to be listening and your requests will be played for you.
Fri 1am,Fri 2am,"Classic Rock from the 60's, 70's & 80's",The MCBVI radio automation selects the best classic and progressive rock available from the sixties and seventies from our extensive library. you  can make requests by calling (206) 666-3696. Please leave a time when you are likely to be listening and your requests will be played for you.
Fri 2am,Fri 5pm,Selected Music from the 80's and 90's,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Fri 5pm,Fri 6pm,Fifties at Five,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Fri 6pm,Fri 7pm,Sixties at Six,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Fri 7pm,Fri 8pm,Seventies at Seven,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Fri 8pm,Fri 11pm,Selected Music from the 80's and 90's,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Fri 11pm,Sat 1am,"Classic Rock from the 60's, 70's & 80's",MCBVI Automated Radio - Requests welcomed
Sat 1am,Sat 2am,It's a Live Classic Rock Concert,"Selected rock concerts from the best classic and progressive rock bands of the sixties, seventies and eighties. The hour concludes with selected classic and progressive rock. "
Sat 2am,Sat 9am,Selected Hits from the 60's and 70's,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Sat 9am,Sat 12pm,The Memory Lane Show presented by Big Bob,Bob lives near Detroit and has been bringing his show that offers your favorite music from the sixties and seventies to over seventy-five stations around the world. 
Sat 12pm,Sat 3pm,Charter Flight presented by Thad Zaremba,"Music from the seventies and eighties. A popular feature of the show is the latest fun news with Thad's favorite news man, Al Knowing. "
Sat 3pm,Sat 5pm,"Selected Hits & Favorites From The 60's and 70's",The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Sat 5pm,Sat 6pm,Fifties at Five,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Sat 6pm,Sat 7pm,Sixties at Six,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Sat 7pm,Sat 8pm,Seventies at Seven,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Sat 8pm,Sat 10pm,Selected Music from the 80's and 90's,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Sat 10pm,Sun 1am,The Sock Hop Soda Shop with Joey Prout,Joey Prout brings his famous Sock Hop Soda Shoppe to MCBVI Radio. This is a well produced show and is guaranteed to bring back fond memories when life was so much less complicated.
